cliente_id,edad,genero,saldo_promedio,gasto_mensual,num_transacciones,historial_crediticio,riesgo_churn
1,56,F,51782.54,17345.35,10,bueno,0
2,69,M,65096.14,18907.73,13,bueno,0
3,46,M,49770.14,14187.68,14,bueno,0
4,32,F,64654.29,2854.48,15,bueno,0
5,60,M,60628.53,10138.14,22,bueno,0
6,25,M,46390.77,4845.66,15,bueno,0
7,38,M,61165.2,12307.01,7,bueno,0
8,56,F,78487.42,9519.47,18,malo,0
9,36,M,14269.1,14048.85,16,bueno,0
10,40,M,9416.11,12745.23,12,bueno,0
11,28,F,75966.41,18897.56,14,bueno,0
12,28,M,67989.51,15927.57,19,bueno,0
13,41,F,78592.2,17089.01,17,bueno,0
14,70,M,47834.15,7406.21,10,bueno,0
15,53,M,85074.51,7173.97,15,bueno,0
16,57,F,107866.29,8521.21,19,bueno,0
17,41,F,73061.16,3726.7,20,bueno,0
18,20,F,61634.71,10790.54,9,malo,0
19,39,M,64689.64,7675.04,19,malo,1
20,70,M,53370.66,16457.55,13,bueno,0
21,19,F,56431.91,7787.56,17,bueno,0
22,41,F,58974.81,10500.04,13,bueno,0
23,61,M,95451.11,10730.68,16,bueno,0
24,47,M,34786.02,18174.35,18,bueno,0
25,55,F,45550.22,2140.11,16,bueno,0
26,19,M,50059.85,14043.56,14,bueno,0
27,38,F,62542.41,15958.0,15,bueno,0
28,50,M,54916.31,14206.65,11,bueno,0
29,29,M,24260.88,10618.71,19,bueno,0
30,39,M,51476.65,13999.09,22,bueno,0
31,61,M,47898.09,9331.87,22,bueno,0
32,42,M,49828.6,9284.65,17,bueno,0
33,66,F,66800.0,10196.24,12,bueno,0
34,44,F,73917.05,11236.76,14,bueno,0
35,59,F,33206.5,5562.8,12,bueno,0
36,45,F,88573.77,9550.94,13,malo,0
37,33,F,20064.51,10533.9,12,bueno,0
38,32,F,35781.03,8594.55,13,bueno,0
39,64,M,45560.43,9432.02,10,bueno,0
40,68,F,64078.65,5827.94,12,bueno,0
41,61,M,15416.64,9963.16,13,bueno,0
42,72,F,94310.8,11907.3,11,malo,0
43,69,F,14064.71,13830.38,13,malo,0
44,74,F,80998.75,12744.27,14,bueno,0
45,20,M,41714.22,3142.86,15,bueno,0
46,54,M,51890.53,9950.2,19,bueno,0
47,68,M,5575.49,12508.91,12,malo,0
48,24,F,64855.1,15848.64,10,bueno,0
49,38,F,46914.77,6514.47,13,malo,1
50,26,M,73462.59,19198.34,20,bueno,0
51,56,F,22176.73,8211.53,21,bueno,0
52,35,F,78597.33,12036.18,20,bueno,0
53,21,F,15675.28,15036.05,21,bueno,0
54,42,F,55055.05,8128.99,14,bueno,0
55,31,F,20811.68,18147.52,20,malo,0
56,67,M,89214.29,3418.73,18,malo,1
57,26,M,69015.45,19891.11,16,bueno,0
58,43,F,81898.09,10354.92,16,bueno,0
59,70,F,44723.31,2806.6,9,bueno,0
60,19,M,43755.22,8137.98,16,bueno,0
61,37,F,49187.64,6079.44,16,bueno,0
62,45,F,47269.73,14516.19,7,bueno,0
63,64,F,42114.29,5812.54,9,bueno,0
64,24,F,45712.95,9344.66,17,bueno,0
65,61,F,73503.36,17067.93,13,bueno,0
66,25,F,69384.13,10829.79,14,bueno,0
67,64,M,26560.63,14557.18,13,malo,0
68,52,M,64250.65,18978.17,13,bueno,0
69,31,F,22038.03,9881.43,14,malo,0
70,34,M,79835.24,11367.19,12,bueno,0
71,53,F,30928.91,10452.67,14,bueno,0
72,67,M,65889.02,7282.04,14,bueno,0
73,57,F,62740.88,5499.14,19,bueno,0
74,21,M,43900.57,11894.17,22,bueno,0
75,19,F,42338.45,19808.46,14,bueno,0
76,23,M,45394.58,17205.94,12,malo,0
77,71,F,59776.54,11955.83,16,bueno,0
78,59,F,66874.34,4575.92,9,malo,1
79,21,F,94241.7,13517.62,19,bueno,0
80,71,M,84778.17,12860.97,24,bueno,0
81,46,F,61593.99,14921.42,8,malo,0
82,35,F,55301.33,11785.15,9,bueno,0
83,43,F,39246.46,18701.14,12,malo,0
84,61,M,63000.64,13493.19,13,malo,0
85,51,F,77495.26,8888.36,12,bueno,0
86,27,M,73060.82,11748.66,18,bueno,0
87,53,M,55680.51,6971.57,7,malo,1
88,31,F,38033.55,9085.3,9,bueno,0
89,48,F,52786.92,6227.21,7,malo,1
90,65,F,64533.81,6871.85,13,bueno,0
91,32,F,73750.15,18087.59,13,bueno,0
92,25,M,54744.09,10323.86,15,bueno,0
93,31,M,69102.22,12168.84,12,bueno,0
94,40,F,71257.72,18684.49,14,bueno,0
95,74,F,44190.23,11122.98,6,bueno,0
96,57,M,38481.7,3436.05,16,bueno,0
97,38,F,83906.82,15836.52,10,bueno,0
98,33,M,64295.15,14219.69,11,malo,0
99,62,M,61211.97,18310.92,14,bueno,0
100,35,M,39172.28,7513.47,17,bueno,0
101,64,M,8930.63,4651.37,14,bueno,0
102,70,M,59596.71,9433.16,16,bueno,0
103,41,M,59720.98,5651.36,17,bueno,0
104,43,F,63730.06,11587.81,17,bueno,0
105,42,F,50028.2,11961.03,12,bueno,0
106,62,F,38778.45,5916.37,13,bueno,0
107,58,F,55394.87,8313.64,13,bueno,0
108,46,F,75175.34,9688.46,10,malo,0
109,32,M,60993.52,9161.88,16,malo,0
110,62,M,23137.59,15782.61,9,bueno,0
111,18,M,46379.55,13951.37,13,bueno,0
112,42,F,37041.96,7527.06,14,malo,1
113,24,M,81915.04,5320.85,12,bueno,0
114,26,M,45665.14,-4422.34,12,bueno,0
115,41,F,79951.18,13376.9,19,bueno,0
116,18,M,54455.47,18655.46,24,malo,0
117,61,F,41796.77,8744.24,14,bueno,0
118,25,M,30809.41,11605.54,15,bueno,0
119,41,F,42947.61,9057.43,4,malo,0
120,28,M,50254.53,9851.99,12,bueno,0
121,68,F,27642.27,11686.61,15,bueno,0
122,34,F,62801.7,9732.81,20,malo,0
123,25,M,33041.39,12384.5,13,bueno,0
124,52,F,20839.43,13527.13,19,bueno,0
125,52,F,23592.51,14124.5,20,bueno,0
126,50,M,40394.03,18600.53,16,bueno,0
127,22,M,60958.33,6427.58,19,bueno,0
128,59,M,82800.91,10992.35,18,bueno,0
129,56,M,45200.42,11006.57,10,bueno,0
130,58,M,56650.35,3678.97,13,bueno,0
131,45,M,48588.6,15869.96,13,bueno,0
132,24,F,7394.1,15223.94,16,bueno,0
133,26,M,57553.7,19361.23,7,bueno,0
134,25,M,49565.18,17930.84,10,bueno,0
135,29,M,18467.21,12089.52,17,bueno,0
136,51,F,83800.71,8996.5,12,bueno,0
137,50,M,62000.98,11400.5,21,bueno,0
138,65,F,16677.56,12766.6,19,bueno,0
139,72,M,60471.71,10040.28,10,malo,0
140,40,F,110525.32,16971.84,16,bueno,0
141,41,M,50130.85,19136.19,18,malo,0
142,54,M,63811.99,14367.8,9,bueno,0
143,52,F,38637.19,6015.06,18,bueno,0
144,61,M,41018.01,10080.02,18,bueno,0
145,57,M,81281.07,13147.81,12,bueno,0
146,39,F,62715.68,20736.83,10,malo,0
147,44,M,71395.6,8298.01,12,malo,0
148,52,F,45298.19,10757.07,15,bueno,0
149,18,M,59044.95,15506.11,18,malo,0
150,52,M,48469.04,16132.82,14,bueno,0
151,54,F,62289.35,10703.79,20,malo,0
152,64,M,47730.11,5671.84,11,bueno,0
153,31,F,85564.96,11752.25,20,malo,0
154,20,M,45274.82,289.76,14,bueno,0
155,18,F,58513.32,11788.74,22,bueno,0
156,22,M,13989.37,1511.49,25,bueno,0
157,43,F,73820.13,11973.98,14,bueno,0
158,72,M,26514.08,9218.02,11,bueno,0
159,31,M,37074.4,11191.66,16,bueno,0
160,56,F,25239.1,12092.62,14,bueno,0
161,44,F,21503.72,25823.79,27,bueno,0
162,26,M,69441.47,4800.45,14,malo,1
163,32,F,34192.2,17417.94,13,bueno,0
164,32,F,20815.88,7011.94,22,bueno,0
165,43,F,19606.97,9652.95,11,malo,0
166,59,F,72165.65,10245.0,15,bueno,0
167,30,M,42739.39,9055.47,19,bueno,0
168,68,F,49007.43,11883.8,12,bueno,0
169,49,M,68441.02,15644.24,12,bueno,0
170,56,F,61829.42,6305.68,6,bueno,0
171,66,M,53850.33,7784.86,10,bueno,0
172,69,F,75416.46,9697.39,19,bueno,0
173,49,M,24265.48,12490.52,16,bueno,0
174,21,M,43847.12,13634.8,19,bueno,0
175,47,M,68147.55,21755.6,24,malo,0
176,54,F,86898.73,17343.58,22,malo,0
177,40,F,89102.1,15806.85,19,bueno,0
178,56,F,26075.71,2747.94,18,bueno,0
179,62,F,51488.85,11778.62,19,bueno,0
180,32,M,59849.19,18587.18,25,malo,0
181,60,F,46729.5,19634.96,10,bueno,0
182,46,M,63900.21,8883.78,13,bueno,0
183,53,F,95190.27,6369.05,14,malo,1
184,30,M,32001.66,8829.38,13,bueno,0
185,49,M,24906.15,19335.4,13,bueno,0
186,24,M,62739.8,11518.61,19,bueno,0
187,68,F,40708.56,11541.1,15,bueno,0
188,39,M,63520.73,5408.51,13,bueno,0
189,45,M,53885.81,11559.5,18,bueno,0
190,19,F,46274.12,19575.65,16,bueno,0
191,59,F,36188.99,15464.61,21,bueno,0
192,62,M,51927.54,10204.11,18,bueno,0
193,74,F,42179.36,-1160.78,15,malo,1
194,70,M,72326.19,12005.5,23,bueno,0
195,23,F,52090.7,12424.19,14,bueno,0
196,45,M,24509.13,6239.55,23,malo,1
197,45,F,77990.87,16321.11,16,bueno,0
198,61,M,47248.88,13984.44,17,bueno,0
199,61,F,91704.01,7959.31,15,malo,1
200,37,F,44603.58,4124.99,12,bueno,0
201,47,F,34024.45,19116.69,15,malo,0
202,28,F,44023.38,14913.13,15,bueno,0
203,72,F,47980.7,7145.96,20,bueno,0
204,45,F,44861.17,6033.63,18,malo,1
205,42,M,37346.04,11423.26,13,malo,0
206,56,M,40886.84,14506.46,16,bueno,0
207,50,M,83004.19,8467.19,21,malo,0
208,18,M,44963.21,11812.4,25,bueno,0
209,74,M,92914.2,16461.57,13,bueno,0
